STOP,,BAREMA,RAMESHWAR,PACHOSHIWALA,CHAKKA,AUSANPUR GATE,HARHUA MORE,HARHUA BAZAR,VYASH BAGH,BHEL,TARNA,AGRESHAN MORE,GILAT BAZAR,BHOJUBEER,POLICE LINE
DISTANCE,,,1,2,3,4,7,9,10,11,12,14,16,17,18
FARE, ,,6,6,10,10,12,15,18,18,18,18,22,22,22
,ARR.,,6:47,6:05,6:53,6:56,7:03,7:13,7:16,7:19,7:22,7:27,7:32,7:35,7:38
,DEP.,6:45,6:48,6:51,6:54,6:57,7:09,7:14,7:17,7:02,7:23,7:28,7:33,7:36,7:39
,ARR.,,8:47,8:05,8:53,8:56,9:03,9:13,9:16,9:19,9:22,9:27,9:32,9:35,9:38
,DEP.,8:45,8:48,8:51,8:54,8:57,9:09,9:14,9:17,9:02,9:23,9:28,9:33,9:36,9:39
,ARR.,,10:47,10:05,10:53,10:56,11:03,11:13,11:16,11:19,11:22,11:27,11:32,11:35,11:38
,DEP.,10:45,10:48,10:51,10:54,10:57,11:09,11:14,11:17,11:02,11:23,11:28,11:33,11:36,11:39
,ARR.,,12:47,12:05,12:53,12:56,13:03,13:13,13:16,13:19,13:22,13:27,13:32,13:35,13:38
,DEP.,12:45,12:48,12:51,12:54,12:57,13:09,13:14,13:17,13:02,13:23,13:28,13:33,13:36,13:39
,ARR.,,14:47,14:05,14:53,14:56,15:03,15:13,15:16,15:19,15:22,15:27,15:32,15:35,15:38
,DEP.,14:45,14:48,14:51,14:54,14:57,15:09,15:14,15:17,15:02,15:23,15:28,15:33,15:36,15:39
,ARR.,,16:47,16:05,16:53,16:56,17:03,17:13,17:16,17:19,17:22,17:27,17:32,17:35,17:38
,DEP.,16:45,16:48,16:51,16:54,16:57,17:09,17:14,17:17,17:02,17:23,17:28,17:33,17:36,17:39
