STOP,,Kashi,Cantt,Police Line,Bhojubir,Gillat Bazar,Agresen Mod,Tarana,BHEL,Vyas Bagh,Harua Bazar,Harua Mod,Ausanpur Gate,Chakka,Pachosiwala,Barema
DISTANCE,,,,3,4,5,7,9,10,11,12,14,17,18,19,21
FARE, ,,,6,10,10,12,15,15,18,18,18,22,22,22,24
,ARR.,,,6:51,6:54,6:57,7:02,7:07,7:01,7:13,7:16,7:25,7:33,7:36,7:39,7:45
,DEP.,6:03,6:45,6:52,6:55,6:58,7:03,7:08,7:11,7:14,7:17,7:27,7:34,7:37,7:04, 
,ARR.,,9,9:36,9:39,9:42,9:47,9:52,9:55,9:58,10:01,10:01,10:18,10:21,10:24,10:03
,DEP.,,9:03,9:37,9:04,9:43,9:48,9:53,9:56,9:59,10:02,10:12,10:19,10:22,10:25,
,ARR.,,11:45,12:21,12:24,12:27,12:32,12:37,12:04,12:43,12:46,12:55,13:03,13:06,13:09,13:15
,DEP.,,12:15,12:22,12:25,12:28,12:33,12:38,12:41,12:44,12:47,12:57,13:04,13:07,13:01,
,ARR.,,13:45,14:21,14:24,14:27,14:32,14:37,14:04,14:43,14:46,14:55,15:03,15:06,15:09,15:15
,DEP.,,14:15,14:22,14:25,14:28,14:33,14:38,14:41,14:44,14:47,14:57,15:04,15:07,15:01,
,ARR.,,15:45,16:21,16:24,16:27,16:32,16:37,16:04,16:43,16:46,16:55,17:03,17:06,17:09,17:15
,DEP.,,16:15,16:22,16:25,16:28,16:33,16:38,16:41,16:44,16:47,16:57,17:04,17:07,17:01,
,ARR.,,17:45,18:21,18:24,18:27,18:32,18:37,18:04,18:43,18:46,18:55,19:03,19:06,19:09,19:15
,DEP.,,18:15,18:22,18:25,18:28,18:33,18:38,18:41,18:44,18:47,18:57,19:04,19:07,19:01,
, ,, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, 
