STOP, ,Kashi,Cantt,Police Line,Bhojubir,Gillat Bazar,Agrasenmod,Tarana,BHEL,Vyas bagh,Harauan,Kaji sarai,RTO,Babatpur,Basani,Kaniyar,Birav
DISTANCE, , , ,3,4,5,7,9,10,11,14,17,18,24,27,35,40
FARE,, ,,6,10,10,12,15,15,18,18,22,22,24,27,30,40
,arv.,,,6:36,6:39,6:42,6:47,6:52,6:55,6:58,7:05,7:12,7:15,7:28,7:35,7:53,8:04
,dep., ,6:03,6:37,6:04,6:43,6:48,6:53,6:56,6:59,7:06,7:13,7:16,7:29,7:36,7:54,
,arv.,,,10:36,10:39,10:42,10:47,10:52,10:55,10:58,11:05,11:12,11:15,11:28,11:35,11:53,12:04
 ,dep.,,10:03,10:37,10:04,10:43,10:48,10:53,10:56,10:59,11:06,11:13,11:16,11:29,11:36,11:54, 
,arv.,,,15:36,15:39,15:42,15:47,15:52,15:55,15:58,16:05,16:12,16:15,16:28,16:35,16:53,17:04
,dep.,,15:03,15:37,15:04,15:43,15:48,15:53,15:56,15:59,16:06,16:13,16:16,16:29,16:36,16:54,
, ,,, , , , , , , , , , , , , ,:
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, , 
