STOP, ,Cantt,Nadesar,Kachahari,Police Line,Pandey pur,Lalpur,Belwa baba,Mahabir,Chamarha,Mohav,Chola pur,Katari,Balram Ganj,Dan Ganj,Maudhaila,Chandwak
DISTANCE, ,0,1,3,4,5,6,7,9,13,16,18,21,24,27,31,34
FARE,,,6.00,6.00,10.00,10.00,12.00,12.00,15.00,18.00,22.00,22.00,24.00,24.00,27.00,30.00,30
,ARR.,,5:33,5:41,5:45,5:49,5:53,5:57,6:05,6:21,6:33,6:41,6:53,7:05,7:17,7:33,7:46
,DEP.,5:30,5:34,5:42,5:46,5:50,5:54,5:58,6:06,6:22,6:34,6:42,6:54,7:06,7:18,7:34,
 ,ARR.,,6:03,6:11,6:15,6:19,6:23,6:27,6:35,6:51,7:03,7:11,7:23,7:35,7:47,8:03,8:16
,DEP.,6:00,6:04,6:12,6:16,6:20,6:24,6:28,6:36,6:52,7:04,7:12,7:24,7:36,7:48,8:04,
,ARR.,,6:33,6:41,6:45,6:49,6:53,6:57,7:05,7:21,7:33,7:41,7:53,8:05,8:17,8:33,8:46
,DEP.,6:30,6:34,6:42,6:46,6:50,6:54,6:58,7:06,7:22,7:34,7:42,7:54,8:06,8:18,8:34,
,ARR.,,7:03,7:11,7:15,7:19,7:23,7:27,7:35,7:51,8:03,8:11,8:23,8:35,8:47,9:03,9:16
,DEP.,7:00,7:04,7:12,7:16,7:20,7:24,7:28,7:36,7:52,8:04,8:12,8:24,8:36,8:48,9:04,
,ARR.,,10:33,10:41,10:45,10:49,10:53,10:57,11:05,11:21,11:33,11:41,11:53,12:05,12:17,12:33,12:46
,DEP.,10:30,10:34,10:42,10:46,10:50,10:54,10:58,11:06,11:22,11:34,11:42,11:54,12:06,12:18,12:34,
,ARR.,,11:03,11:11,11:15,11:19,11:23,11:27,11:35,11:51,12:03,12:11,12:23,12:35,12:47,13:03,13:16
,DEP.,11:00,11:04,11:12,11:16,11:20,11:24,11:28,11:36,11:52,12:04,12:12,12:24,12:36,12:48,13:04,
,ARR.,,11:33,11:41,11:45,11:49,11:53,11:57,12:05,12:21,12:33,12:41,12:53,13:05,13:17,13:33,13:46
,DEP.,11:30,11:34,11:42,11:46,11:50,11:54,11:58,12:06,12:22,12:34,12:42,12:54,13:06,13:18,13:34,
,ARR.,,12:03,12:11,12:15,12:19,12:23,12:27,12:35,12:51,13:03,13:11,13:23,13:35,13:47,14:03,14:16
,DEP.,12:00,12:04,12:12,12:16,12:20,12:24,12:28,12:36,12:52,13:04,13:12,13:24,13:36,13:48,14:04,
,ARR.,,15:33,15:41,15:45,15:49,15:53,15:57,16:05,16:21,16:33,16:41,16:53,17:05,17:17,17:33,17:46
,DEP.,15:30,15:34,15:42,15:46,15:50,15:54,15:58,16:06,16:22,16:34,16:42,16:54,17:06,17:18,17:34,
,ARR.,,16:03,16:11,16:15,16:19,16:23,16:27,16:35,16:51,17:03,17:11,17:23,17:35,17:47,18:03,18:16
,DEP.,16:00,16:04,16:12,16:16,16:20,16:24,16:28,16:36,16:52,17:04,17:12,17:24,17:36,17:48,18:04,
,ARR.,,16:33,16:41,16:45,16:49,16:53,16:57,17:05,17:21,17:33,17:41,17:53,18:05,18:17,18:33,18:46
,DEP.,16:30,16:34,16:42,16:46,16:50,16:54,16:58,17:06,17:22,17:34,17:42,17:54,18:06,18:18,18:34,
,ARR.,,17:03,17:11,17:15,17:19,17:23,17:27,17:35,17:51,18:03,18:11,18:23,18:35,18:47,19:03,19:16
,DEP.,17:00,17:04,17:12,17:16,17:20,17:24,17:28,17:36,17:52,18:04,18:12,18:24,18:36,18:48,19:04,
