STOP, ,Kashi,Cantt,Lahartara,CaltriFarm,Rohania,Jagatpur,Mohansarai,Rajatalav,Chittapur,Chandpur,Jayapur,
DISTANCE, ,,0,4,5,8,10,14,17,19,24,27,
FARE,, ,,10.00,10.00,12.00,15.00,18.00,18.00,22.00,24.00,27.00,
,ARR.,,,18:41,18:44,18:53,18:59,19:11,19:20,19:26,19:41,19:51,
,DEP.,18:00,18:30,18:42,18:45,18:54,19:00,19:12,19:21,19:27,19:42,,
,ARR.,,,8:56,8:59,9:08,9:14,9:26,9:35,9:41,9:56,10:06,
 ,DEP.,,8:45,8:57,9:00,9:09,9:15,9:27,9:36,9:42,9:57,,
,ARR.,,,12:26,12:29,12:38,12:44,12:56,13:05,13:11,13:26,13:36,
,DEP.,,12:15,12:27,12:30,12:39,12:45,12:57,13:06,13:12,13:27,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
