Stop, ,Kashi,Cantt ,Police Line,Bhojubir,Gillat bazar,Agrasen mod,Tarana,BHEL,Vyasbagh,Ausanpur Gate,Chakka,Pachosi wala,Rameshvar,Hathi bazar,Basehupur,Isarwar,Kalikadham
distance, , ,,3,4,5,7,9,10,11,17,18,19,20,26,31,34,37
fare,, ,,6,10,10,12,15,15,18,22,22,22,22,27,30,30,36
bus no.,ARR.,,,6:06,6:09,6:12,6:17,6:22,6:25,6:28,6:41,6:44,6:47,6:05,7:03,7:15,7:28,7:35
7229,DEP., ,6,6:07,6:01,6:13,6:18,6:23,6:26,6:29,6:42,6:45,6:48,6:51,7:04,7:16,7:29,
6339,ARR.,,,8:51,8:54,8:57,9:02,9:07,9:01,9:13,9:26,9:29,9:32,9:35,9:48,10,10:07,10:15
 ,DEP.,,8:45,8:52,8:55,8:58,9:03,9:08,9:11,9:14,9:27,9:03,9:33,9:36,9:49,10:01,10:08,
,ARR.,,,11:51,11:54,11:57,12:02,12:07,12:01,12:13,12:26,12:29,12:32,12:35,12:48,13,13:07,13:15
,DEP.,,11:45,11:52,11:55,11:58,12:03,12:08,12:11,12:14,12:27,12:03,12:33,12:36,12:49,13:01,13:08,
,ARR.,,,14:51,14:54,14:57,15:02,15:07,15:01,15:13,15:26,15:29,15:32,15:35,15:48,16,16:07,16:15
,DEP.,,14:45,14:52,14:55,14:58,15:03,15:08,15:11,15:14,15:27,15:03,15:33,15:36,15:49,16:01,16:08,
