STOP, ,Cantt,Mohansarai,Ramnagar,Narayanpur,Adalhat,Ahraura,Sukrut,Madhupur,Tendupul,Sonebhadra,Tendu pul,Kaithi
DISTANCE, ,0,14,32,39,47,60,76,85,95,103,8,10
FARE,,,,,,,,,,,,,
,,,,,,,,,,,,,
,DEP.,,14:28,15:03,15:18,15:35,16:02,16:35,16:54,17:15,17:32,17:51,18:15
 ,ARR.,14:00,14:29,15:04,15:19,15:36,16:03,16:36,16:55,17:16,17:35,17:52,18:16
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
