STOPS, ,CANTT.,VIDYAPETH,SIGRA,RATHYATRA,KAMACHA,RAVINDRAPURI,LANKA
DISTANCE, ,0,1,2,3,4,5,7
FARE,, ,6,6,6,10,10,12
,Arr.,,5:03,5:07,5:12,5:17,5:22,5:03
,Dep.,5,5:04,5:09,5:14,5:19,5:24,
,Arr.,,5:18,5:22,5:27,5:32,5:37,5:45
,Dep.,5:15,5:19,5:24,5:29,5:34,5:39,
,Arr.,,5:33,5:37,5:42,5:47,5:52,6
,Dep.,5:03,5:34,5:39,5:44,5:49,5:54,
,Arr.,,5:48,5:52,5:57,6:02,6:07,6:15
,Dep.,5:45,5:49,5:54,5:59,6:04,6:09,
,Arr.,,6:03,6:07,6:12,6:17,6:22,6:03
,Dep.,6,6:04,6:09,6:14,6:19,6:24,
,Arr.,,6:18,6:22,6:27,6:32,6:37,6:45
,Dep.,6:15,6:19,6:24,6:29,6:34,6:39,
,Arr.,,6:33,6:37,6:42,6:47,6:52,7
,Dep.,6:03,6:34,6:39,6:44,6:49,6:54,
,Arr.,,6:48,6:52,6:57,7:02,7:07,7:15
,Dep.,6:45,6:49,6:54,6:59,7:04,7:09,
,Arr.,,7:03,7:07,7:12,7:17,7:22,7:03
,Dep.,7,7:04,7:09,7:14,7:19,7:24,
,Arr.,,7:18,7:22,7:27,7:32,7:37,7:45
,Dep.,7:15,7:19,7:24,7:29,7:34,7:39,
,Arr.,,7:33,7:37,7:42,7:47,7:52,8
,Dep.,7:03,7:34,7:39,7:44,7:49,7:54,
,Arr.,,7:48,7:52,7:57,8:02,8:07,8:15
,Dep.,7:45,7:49,7:54,7:59,8:04,8:09,
,Arr.,,8:03,8:07,8:12,8:17,8:22,8:03
,Dep.,8,8:04,8:09,8:14,8:19,8:24,
,Arr.,,8:18,8:22,8:27,8:32,8:37,8:45
,Dep.,8:15,8:19,8:24,8:29,8:34,8:39,
,Arr.,,8:33,8:37,8:42,8:47,8:52,9
,Dep.,8:03,8:34,8:39,8:44,8:49,8:54,
,Arr.,,8:48,8:52,8:57,9:02,9:07,9:15
,Dep.,8:45,8:49,8:54,8:59,9:04,9:09,
,Arr.,,9:03,9:07,9:12,9:17,9:22,9:03
,Dep.,9,9:04,9:09,9:14,9:19,9:24,
,Arr.,,9:18,9:22,9:27,9:32,9:37,9:45
,Dep.,9:15,9:19,9:24,9:29,9:34,9:39,
,Arr.,,9:33,9:37,9:42,9:47,9:52,10
,Dep.,9:03,9:34,9:39,9:44,9:49,9:54,
,Arr.,,9:48,9:52,9:57,10:02,10:07,10:15
,Dep.,9:45,9:49,9:54,9:59,10:04,10:09,
,Arr.,,10:03,10:07,10:12,10:17,10:22,10:03
,Dep.,10,10:04,10:09,10:14,10:19,10:24,
,Arr.,,10:18,10:22,10:27,10:32,10:37,10:45
,Dep.,10:15,10:19,10:24,10:29,10:34,10:39,
,Arr.,,10:33,10:37,10:42,10:47,10:52,11
,Dep.,10:03,10:34,10:39,10:44,10:49,10:54,
,Arr.,,10:48,10:52,10:57,11:02,11:07,11:15
,Dep.,10:45,10:49,10:54,10:59,11:04,11:09,
,Arr.,,11:03,11:07,11:12,11:17,11:22,11:03
,Dep.,11,11:04,11:09,11:14,11:19,11:24,
,Arr.,,11:18,11:22,11:27,11:32,11:37,11:45
,Dep.,11:15,11:19,11:24,11:29,11:34,11:39,
,Arr.,,11:33,11:37,11:42,11:47,11:52,12
,Dep.,11:03,11:34,11:39,11:44,11:49,11:54,
,Arr.,,11:48,11:52,11:57,12:02,12:07,12:15
,Dep.,11:45,11:49,11:54,11:59,12:04,12:09,
,Arr.,,12:03,12:07,12:12,12:17,12:22,12:03
,Dep.,12,12:04,12:09,12:14,12:19,12:24,
,Arr.,,12:18,12:22,12:27,12:32,12:37,12:45
,Dep.,12:15,12:19,12:24,12:29,12:34,12:39,
,Arr.,,12:33,12:37,12:42,12:47,12:52,13
,Dep.,12:03,12:34,12:39,12:44,12:49,12:54,
,Arr.,,12:48,12:52,12:57,13:02,13:07,13:15
,Dep.,12:45,12:49,12:54,12:59,13:04,13:09,
,Arr.,,13:03,13:07,13:12,13:17,13:22,13:03
,Dep.,13,13:04,13:09,13:14,13:19,13:24,
,Arr.,,13:18,13:22,13:27,13:32,13:37,13:45
,Dep.,13:15,13:19,13:24,13:29,13:34,13:39,
,Arr.,,13:33,13:37,13:42,13:47,13:52,14
,Dep.,13:03,13:34,13:39,13:44,13:49,13:54,
,Arr.,,13:48,13:52,13:57,14:02,14:07,14:15
,Dep.,13:45,13:49,13:54,13:59,14:04,14:09,
,Arr.,,14:03,14:07,14:12,14:17,14:22,14:03
,Dep.,14,14:04,14:09,14:14,14:19,14:24,
,Arr.,,14:18,14:22,14:27,14:32,14:37,14:45
,Dep.,14:15,14:19,14:24,14:29,14:34,14:39,
,Arr.,,14:33,14:37,14:42,14:47,14:52,15
,Dep.,14:03,14:34,14:39,14:44,14:49,14:54,
,Arr.,,14:48,14:52,14:57,15:02,15:07,15:15
,Dep.,14:45,14:49,14:54,14:59,15:04,15:09,
,Arr.,,15:03,15:07,15:12,15:17,15:22,15:03
,Dep.,15,15:04,15:09,15:14,15:19,15:24,
,Arr.,,15:18,15:22,15:27,15:32,15:37,15:45
,Dep.,15:15,15:19,15:24,15:29,15:34,15:39,
,Arr.,,15:33,15:37,15:42,15:47,15:52,16
,Dep.,15:03,15:34,15:39,15:44,15:49,15:54,
,Arr.,,15:48,15:52,15:57,16:02,16:07,16:15
,Dep.,15:45,15:49,15:54,15:59,16:04,16:09,
