STOP, ,Cantt,Vidyapeeth,Sigra,Rathyatra,Mahmoor Ganj Radio STn,Manduadih Rly Stn,Karaundhi Chauraha,Chitaipur Chauraha,Kandwa Bazar,Lathia Gate,Lathia Bypass,,,,
DISTANCE, ,0,1,2,3,4,6,7,9,10,12,14,,,,
FARE,,,6.00,6.00,10.00,10.00,12.00,12.00,15.00,15.00,18.00,18.00,,,,
,ARR.,,5:33,5:37,5:41,5:45,5:53,5:57,6:05,6:09,6:17,6:26,,,,
,DEP.,5:30,5:34,5:38,5:42,5:46,5:54,5:58,6:06,6:10,6:18,,,,,
 ,ARR.,,6:33,6:37,6:41,6:45,6:53,6:57,7:05,7:09,7:17,7:26,,,,
 ,DEP.,6:30,6:34,6:38,6:42,6:46,6:54,6:58,7:06,7:10,7:18,,,,,
,ARR.,,8:03,8:07,8:11,8:15,8:23,8:27,8:35,8:39,8:47,8:56,,,,
,DEP.,8:00,8:04,8:08,8:12,8:16,8:24,8:28,8:36,8:40,8:48,,,,,
,ARR.,,9:03,9:07,9:11,9:15,9:23,9:27,9:35,9:39,9:47,9:56,,,,
,DEP.,9:00,9:04,9:08,9:12,9:16,9:24,9:28,9:36,9:40,9:48,,,,,
,ARR.,,10:33,10:37,10:41,10:45,10:53,10:57,11:05,11:09,11:17,11:26,,,,
,DEP.,10:30,10:34,10:38,10:42,10:46,10:54,10:58,11:06,11:00,11:18,,,,,
,ARR.,,11:33,11:37,11:41,11:45,11:53,11:57,12:05,12:09,12:17,12:26,,,,
,DEP.,11:30,11:34,11:38,11:42,11:46,11:54,11:58,12:06,12:10,12:18,,,,,
,ARR.,,13:03,13:07,13:11,13:15,13:23,13:27,13:35,13:39,13:47,13:56,,,,
,DEP.,13:00,13:04,13:08,13:12,13:16,13:24,13:28,13:36,13:40,13:48,,,,,
,ARR.,,14:03,14:07,14:11,14:15,14:23,14:27,14:35,14:39,14:47,14:56,,,,
,DEP.,14:00,14:04,14:08,14:12,14:16,14:24,14:28,14:36,14:40,14:48,,,,,
,ARR.,,15:33,15:37,15:41,15:45,15:53,15:57,16:05,16:09,16:17,16:26,,,,
,DEP.,15:30,15:34,15:38,15:42,15:46,15:54,15:58,16:06,16:10,16:18,,,,,
,ARR.,,16:33,16:37,16:41,16:45,16:53,16:57,17:05,17:09,17:17,17:26,,,,
,DEP.,16:30,16:34,16:38,16:42,16:46,16:54,16:58,17:06,17:10,17:18,,,,,
,ARR.,,18:03,18:07,18:11,18:15,18:23,18:27,18:35,18:39,18:47,18:56,,,,
,DEP.,18:00,18:04,18:08,18:12,18:16,18:24,18:28,18:36,18:40,18:48,,,,,
,ARR.,,19:03,19:07,19:11,19:15,19:23,19:27,19:35,19:39,19:47,19:56,,,,
,DEP.,19:00,19:04,19:08,19:12,19:16,19:24,19:28,19:36,19:40,19:48,,,,,
