stop, ,Kashi,Cant,Police Line,Bhojubir,Gillat Bazar,Agrasen Mod,Tarana,BHEL,Vyasbagh,Harauan,Kaji Sarai,Satomhua,Ahrak,Magari
distance, , , ,3,4,5,7,9,10,11,14,17,19,24,26
fare,, ,,6,10,10,12,15,15,18,18,22,22,24,27
,ARR.,,,7:06,7:09,7:12,7:17,7:22,7:25,7:28,7:35,7:42,7:47,7:58,8:03
,DEP., ,7,7:07,7:01,7:13,7:18,7:23,7:26,7:29,7:36,7:43,7:48,7:59,
,ARR.,,,10:06,10:09,10:12,10:17,10:22,10:25,10:28,10:35,10:42,10:47,10:58,11:03
,DEP.,,10,10:07,10:01,10:13,10:18,10:23,10:26,10:29,10:36,10:43,10:48,10:59,
,ARR.,,,13:06,13:09,13:12,13:17,13:22,13:25,13:28,13:35,13:42,13:47,13:58,14:03
,DEP.,,13,13:07,13:01,13:13,13:18,13:23,13:26,13:29,13:36,13:43,13:48,13:59,
,ARR.,,,16:06,16:09,16:12,16:17,16:22,16:25,16:28,16:35,16:42,16:47,16:58,17:03
,DEP.,,16,16:07,16:01,16:13,16:18,16:23,16:26,16:29,16:36,16:43,16:48,16:59,
