stop, ,Kashi,Cantt.,Police Line,Pandey pur,Pahadia,Asha pur,Ledupur,Chiraian Ganv Block,Dubkia,Chaubey pur,Chandravati,Kaithi,Markandey Mahadev
distance, , ,,3,5,6,7,9,13,16,20,24,28,30
fare,, ,,6,10,12,12,15,18,22,22,24,27,27
,ARR.,,,7:06,7:09,7:12,7:15,7:02,7:29,7:36,7:45,7:54,8:03,8:01
,DEP., ,7,7:07,7:01,7:13,7:16,7:21,7:03,7:37,7:46,7:55,8:04,
 ,ARR.,,,11:06,11:09,11:12,11:15,11:02,11:29,11:36,11:45,11:54,12:03,12:01
 ,DEP.,,11,11:07,11:01,11:13,11:16,11:21,11:03,11:37,11:46,11:55,12:04, 
,ARR.,,,15:06,15:09,15:12,15:15,15:02,15:29,15:36,15:45,15:54,16:03,16:01
,DEP.,,15,15:07,15:01,15:13,15:16,15:21,15:03,15:37,15:46,15:55,16:04, 
,ARR.,,,19:06,19:09,19:12,19:15,19:02,19:29,19:36,19:45,19:54,20:03,20:01
,DEP.,,19,19:07,19:01,19:13,19:16,19:21,19:03,19:37,19:46,19:55,20:04,20:11
