stop, ,Cantt,Nadesar,Kachahari,Bhojubir,Natniyadai,Chandmari,Murdaha,Ayar,Ahirauli,Gosaipur,Palhipatti,Garthama,Marui,Sindhora,,
distance, ,0,1,3,4,6,8,12,14,16,17,19,21,25,27,,
fare,,,6.00,6.00,10.00,12.00,12.00,18.00,18.00,22.00,22.00,22.00,24.00,24.00,27.00,,
,ARR.,,6:03,6:11,6:15,6:23,6:31,6:47,6:55,7:03,7:07,7:15,7:23,7:39,7:48,,
,DEP.,6:00,6:04,6:12,6:16,6:24,6:32,6:48,6:56,7:04,7:08,7:16,7:24,7:40,,,
 ,ARR.,,7:03,7:11,7:15,7:23,7:31,7:47,7:55,8:03,8:07,8:15,8:23,8:39,8:48,,
,DEP.,7:00,7:04,7:12,7:16,7:24,7:32,7:48,7:56,8:04,8:08,8:16,8:24,8:40,,,
,ARR.,,10:18,10:26,10:30,10:38,10:46,11:02,11:10,11:18,11:22,11:30,11:38,11:54,12:03,,
,DEP.,10:15,10:19,10:27,10:31,10:39,10:47,11:03,11:11,11:19,11:23,11:31,11:39,11:55,,,
,ARR.,,11:18,11:26,11:30,11:38,11:46,12:02,12:10,12:18,12:22,12:30,12:38,12:54,13:03,,
,DEP.,11:15,11:19,11:27,11:31,11:39,11:47,12:03,12:11,12:19,12:23,12:31,12:39,12:55,,,
,ARR.,,14:18,14:26,14:30,14:38,14:46,15:02,15:10,15:18,15:22,15:30,15:38,15:54,16:03,,
,DEP.,14:15,14:19,14:27,14:31,14:39,14:47,15:03,15:11,15:19,15:23,15:31,15:39,15:55,,,
,ARR.,,15:18,15:26,15:30,15:38,15:46,16:02,16:10,16:18,16:22,16:30,16:38,16:54,17:03,,
,DEP.,15:15,15:19,15:27,15:31,15:39,15:47,16:03,16:11,16:19,16:23,16:31,16:39,16:55,,,
,ARR.,,18:18,18:26,18:30,18:38,18:46,19:02,19:10,19:18,19:22,19:30,19:38,19:54,20:03,,
,DEP.,18:15,18:19,18:27,18:31,18:39,18:47,19:03,19:11,19:19,19:23,19:31,19:39,19:55,,,
,ARR.,,19:18,19:26,19:30,19:38,19:46,20:02,20:10,20:18,20:22,20:30,20:38,20:54,21:03,,
,DEP.,19:15,19:19,19:27,19:31,19:39,19:47,20:04,20:11,20:19,20:23,20:31,20:39,20:55,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
