stop, ,Kashi,Cantt,Police Line,Bhojubir,Gillat bazar,Agrasen Mod,Bharlai,Dhamaha pur,Sikandar pur,Virapatti
distance, , ,,3,4,5,7,11,13,16,19
fare,, ,,6,10,10,12,18,18,22,22
,ARR.,,,8:06,8:09,8:12,8:17,8:26,8:31,8:38,8:45
,DEP., ,8,8:07,8:01,8:13,8:18,8:27,8:32,8:39,
 ,ARR.,,,10:06,10:09,10:12,10:17,10:26,10:31,10:38,10:45
 ,DEP.,,10,10:07,10:01,10:13,10:18,10:27,10:32,10:39,
,ARR.,,,12:06,12:09,12:12,12:17,12:26,12:32,12:39,12:45
,DEP.,,12,12:07,12:01,12:13,12:18,12:27,12:33,12:04,
,ARR.,,,14:06,14:01,14:13,14:18,14:27,14:33,14:04,14:45
,DEP.,,14,14:07,14:11,14:14,14:19,14:28,14:34,14:41,
