stop,,Kashi,Padav,Sikandarpur,Mavaia,Baburi,Shivnathpur,Pandeypur,Niyamtabad,Mughal sarai,Dulhipur,Chakia,,,,,,,,,,,,,,,,,
distance,,0,0,5,11,15,18,21,24,31,36,40,,,,,,,,,,,,   eqxyljk; iMko dk'kh,,,,,
fare,,,,10.00,18.00,18.00,22.00,24.00,24.00,30.00,36.00,40.00,,,,,,,,,,,,,,,,,
,ARR.,,,7:10,7:23,7:32,7:39,7:46,7:53,8:08,8:28,8:37,,,,,,,,,,,,,,,,,
,DEP.,,7:00,7:11,7:24,7:33,7:40,7:47,7:54,8:18,8:29,,,,,,,,,,,,,,,,,,
,ARR.,,,7:40,7:53,8:02,8:09,8:16,8:23,8:38,8:58,9:07,,,,,,,,,,,,,,,,,
,DEP.,,7:30,7:41,7:54,8:03,8:10,8:17,8:24,8:48,8:59,,,,,,,,,,,,,,,,,,
,ARR.,,,8:10,8:23,8:32,8:39,8:46,8:53,9:08,9:28,9:37,,,,,,,,,,,,,,,,,
,DEP.,,8:00,8:11,8:24,8:33,8:40,8:47,8:54,9:18,9:29,,,,,,,,,,,,,,,,,,
,ARR.,,,8:40,8:53,9:02,9:09,9:16,9:23,9:38,9:58,10:07,,,,,,,,,,,,,,,,,
,DEP.,,8:30,8:41,8:54,9:03,9:10,9:17,9:24,9:48,9:59,,,,,,,,,,,,,,,,,,
,ARR.,,,9:40,9:53,10:02,10:09,10:16,10:23,10:38,10:58,11:07,,,,,,,,,,,,,,,,,
,DEP.,,9:30,9:41,9:54,10:03,10:10,10:17,10:24,10:48,10:59,,,,,,,,,,,,,,,,,,
,ARR.,,,10:10,10:23,10:32,10:39,10:46,10:53,11:08,11:28,11:37,,,,,,,,,,,,,,,,,
,DEP.,,10:00,10:11,10:24,10:33,10:40,10:47,10:54,11:18,11:29,,,,,,,,,,,,,,,,,,
,ARR.,,,10:40,10:53,11:02,11:09,11:16,11:23,11:38,11:58,12:07,,,,,,,,,,,,,,,,,
,DEP.,,10:30,10:41,10:54,11:03,11:10,11:17,11:24,11:48,11:59,,,,,,,,,,,,,,,,,,
,ARR.,,,11:10,11:23,11:32,11:39,11:46,11:53,12:08,12:28,12:37,,,,,,,,,,,,,,,,,
,ARR.,,11:00,11:11,11:24,11:33,11:40,11:47,11:54,12:18,12:29,,,,,,,,,,,,,,,,,,
,DEP.,,,11:40,11:53,12:02,12:09,12:16,12:23,12:38,12:58,13:07,,,,,,,,,,,,,,,,,
,ARR.,,11:30,11:41,11:54,12:03,13:10,12:17,12:24,12:48,12:59,,,,,,,,,,,,,,,,,,
,DEP.,,,12:10,12:23,12:32,12:39,12:46,12:53,13:08,13:28,13:37,,,,,,,,,,,,,,,,,
,ARR.,,12:00,12:11,12:24,12:33,12:40,12:47,12:54,13:18,13:29,,,,,,,,,,,,,,,,,,
,DEP.,,,12:40,12:53,13:02,13:09,13:16,13:23,13:38,13:58,14:07,,,,,,,,,,,,,,,,,
,ARR.,,12:30,12:41,12:54,13:03,13:10,13:17,13:24,13:48,13:59,,,,,,,,,,,,,,,,,,
,DEP.,,,13:10,13:23,13:32,13:39,13:46,13:53,14:08,14:28,14:37,,,,,,,,,,,,,,,,,
,ARR.,,13:00,13:11,13:24,13:33,13:40,13:47,13:54,14:18,14:29,,,,,,,,,,,,,,,,,,
,DEP.,,,13:40,13:53,14:02,14:09,14:16,14:23,14:38,14:58,15:07,,,,,,,,,,,,,,,,,
,ARR.,,13:30,13:41,13:54,14:03,14:10,14:17,14:24,14:48,14:59,,,,,,,,,,,,,,,,,,
,DEP.,,,14:10,14:23,14:32,14:39,14:46,14:53,15:08,18:28,15:37,,,,,,,,,,,,,,,,,
,ARR.,,14:00,14:11,14:24,14:33,14:40,14:47,14:54,15:18,18:29,,,,,,,,,,,,,,,,,,
,DEP.,,,14:40,14:53,15:02,15:09,15:16,15:23,15:38,15:58,16:07,,,,,,,,,,,,,,,,,
,ARR.,,14:30,14:41,14:54,15:03,15:10,15:17,15:24,15:48,15:59,,,,,,,,,,,,,,,,,,
,DEP.,,,15:10,15:23,15:32,15:39,15:46,15:53,16:08,16:28,16:37,,,,,,,,,,,,,,,,,
,ARR.,,15:00,15:11,15:24,15:33,15:40,15:47,15:54,16:18,16:29,,,,,,,,,,,,,,,,,,
,DEP.,,,15:40,15:53,16:02,16:09,16:16,16:23,16:38,16:58,17:07,,,,,,,,,,,,,,,,,
,ARR.,,15:30,15:41,15:54,16:03,16:10,16:17,16:24,16:48,16:59,,,,,,,,,,,,,,,,,,
,DEP.,,,16:40,16:53,17:02,17:09,17:16,17:23,17:38,17:58,18:07,,,,,,,,,,,,,,,,,
,ARR.,,16:30,16:41,16:54,17:03,17:10,17:17,17:24,17:48,17:59,,,,,,,,,,,,,,,,,,
,DEP.,,,17:10,17:23,17:32,17:39,17:46,17:53,18:08,18:28,18:37,,,,,,,,,,,,,,,,,
,ARR.,,17:00,17:11,17:24,17:33,17:40,17:47,17:54,18:18,18:29,,,,,,,,,,,,,,,,,,
,DEP.,,,17:40,17:53,18:02,18:09,18:16,18:23,18:38,18:58,19:07,,,,,,,,,,,,,,,,,
,ARR.,,17:30,17:41,17:54,18:03,18:10,18:17,18:24,18:48,18:59,,,,,,,,,,,,,,,,,,:
