stop, ,Kachahari,Nadesar,Cantt,Vidyapeeth,Sigra,Rathyatra,Mahmoorganj Radio Stn,Manduadih Rly Stn,Karaundhi Mod,Chitaipur Chauraha,Amra Chauraha,Amra Bypass,Khanav,Bakchhanv,Kadsara,Churamanpur,Rudauli,Adalpura
distance, ,0,2,3,4,5,6,7,9,10,12,14,15,16,17,20,21,23,26
fare,,,6.00,6.00,10.00,10.00,12.00,12.00,15.00,15.00,18.00,18.00,18,22,22,22,24,24,27
:,ARR.,,6:07,6:11,6:15,6:19,6:23,6:27,6:35,6:39,6:47,6:55,6:59,7:03,7:07,7:19,7:23,7:31,7:44
,DEP.,6:00,6:08,6:12,6:16,6:20,6:24,6:28,6:36,6:40,6:48,6:56,7:00,7:04,7:08,7:20,7:24,7:32,
 ,ARR.,,7:07,7:11,7:15,7:19,7:23,7:27,7:35,7:39,7:47,7:55,7:59,8:03,8:07,8:19,8:23,8:31,8:44
,DEP.,7:00,7:08,7:12,7:16,7:20,7:24,7:28,7:36,7:40,7:48,7:56,8:00,8:04,8:08,8:20,8:24,8:32,
,ARR.,,10:07,10:11,10:15,10:19,10:23,10:27,10:35,10:39,10:47,10:55,10:59,11:03,11:07,11:19,11:23,11:31,11:44
,DEP.,10:00,10:08,10:12,10:16,10:20,10:24,10:28,10:36,10:40,10:48,10:56,11:00,11:04,11:08,11:20,11:24,11:32,
,ARR.,,11:07,11:11,11:15,11:19,11:23,11:27,11:35,11:39,11:47,11:55,11:59,12:03,12:07,12:19,12:23,12:31,12:44
,DEP.,11:00,11:08,11:12,11:16,11:20,11:24,11:28,11:36,11:40,11:48,11:56,12:00,12:04,12:08,12:20,12:24,12:32,
,ARR.,,15:07,15:11,15:15,15:19,15:23,15:27,15:35,15:39,15:47,15:55,15:59,16:03,16:07,16:19,16:23,16:31,16:44
,DEP.,15:00,15:08,15:12,15:16,15:20,15:24,15:28,15:36,15:40,15:48,15:56,16:00,16:04,16:08,16:20,16:24,16:32,
,ARR.,,16:07,16:11,16:15,16:19,16:23,16:27,16:35,16:39,16:47,16:55,16:59,17:03,17:07,17:19,17:23,17:31,17:44
,DEP.,16:00,16:08,16:12,16:16,16:20,16:24,16:28,16:36,16:40,16:48,16:56,17:00,17:04,17:08,17:20,17:24,17:32,
,ARR.,,19:07,19:11,19:15,19:19,19:23,19:27,19:35,19:39,19:47,19:55,19:59,20:03,20:07,20:19,20:23,20:31,20:44
,DEP.,19:00,19:08,19:12,19:16,19:20,19:24,19:28,19:36,19:40,19:48,19:56,20:00,20:04,20:08,20:20,20:24,20:32,
,ARR.,,20:07,20:11,20:15,20:19,20:23,20:27,20:35,20:39,20:47,20:55,20:59,21:03,21:07,21:19,21:23,21:31,21:44
,DEP.,20:00,20:08,20:12,20:16,20:20,20:24,20:28,20:36,20:40,20:48,20:56,21:00,21:04,21:08,21:20,21:24,21:32,halt
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
