stop, ,Kashi,Kalikadham,Isravar,Basepur,Barani,Hathi bazar,Rameshwar,Pachosivala,Chakka,Ausanpur Gate,Vyasbagh,BHEL,Tarana,Agrasen Mod,Bhojubir,Police Line,Cantt
distance, , ,,3,6,8,11,17,18,19,20,26,27,28,30,33,34,37
fare,, ,,,,,,,,,,,,,,,, 
,ARR.,,,6:06,6:13,6:18,6:25,6:38,6:41,6:44,6:47,7,7:03,7:06,7:11,7:19,7:22,7:03
 ,DEP., ,6,6:07,6:14,6:19,6:26,6:39,6:42,6:45,6:48,7:01,7:04,7:07,7:12,7:02,7:23,
 ,ARR.,,,9:06,9:13,9:18,9:25,9:38,9:41,9:44,9:47,10,10:03,10:06,10:11,10:19,10:22,10:03
 ,DEP.,,9,9:07,9:14,9:19,9:26,9:39,9:42,9:45,9:48,10:01,10:04,10:07,10:12,10:02,10:23,
,ARR.,,,12:06,12:13,12:18,12:25,12:38,12:41,12:44,12:47,13,13:03,13:06,13:11,13:19,13:22,13:03
,DEP.,,12,12:07,12:14,12:19,12:26,12:39,12:42,12:45,12:48,13:01,13:04,13:07,13:12,13:02,13:23,
,ARR.,,,15:06,15:13,15:18,15:25,15:38,15:41,15:44,15:47,16,16:03,16:07,16:11,16:19,16:22,16:03
,DEP.,,15,15:07,15:14,15:19,15:26,15:39,15:42,15:45,15:48,16:01,16:04,16:08,16:12,16:02,16:23,
,ARR.,,,18:07,18:14,18:19,18:26,18:39,18:42,18:45,18:48,19:01,19:04,19:08,19:12,19:02,19:23,19:03
,DEP.,,18,18:08,18:15,18:02,18:27,18:04,18:43,18:46,18:49,19:02,19:05,19:09,19:13,19:21,19:24,
