stop,,Kashi,Padav,Dhulhi pur,Mughal Sarai,Patpara,Kaili,Bhulauli,Pakhopur,Kailavar,Chahania,Ramauli,Moharganj,Nedilpur,Hingutar,Dhanapur
distance,,,0,4,9,13,17,19,23,25,29,31,34,38,40,44
fare,,,,10.00,15.00,18.00,22.00,22.00,24.00,24.00,27.00,30.00,30.00,36.00,36.00,40
,ARR.,,,8:08,8:19,8:37,8:46,8:51,9:00,9:05,9:10,9:15,9:22,9:31,9:36,9:45
,DEP.,,8:00,8:09,8:29,8:38,8:47,8:52,9:01,9:06,9:11,9:16,9:23,9:32,9:37,
,ARR.,,,13:08,13:19,13:37,13:46,13:51,14:00,14:05,14:10,14:15,14:22,14:31,14:36,14:45
,DEP.,,13:00,13:09,13:29,13:38,13:47,13:52,14:01,14:06,14:11,14:16,14:23,14:32,14:37,
,ARR.,,,15:08,15:19,15:37,15:46,15:51,16:00,16:05,16:10,16:15,16:22,16:31,16:36,16:45
,DEP.,,15:00,15:09,15:29,15:38,15:47,15:52,16:01,16:06,16:11,16:16,16:23,16:32,16:37,
,ARR.,,,18:08,18:19,18:37,18:46,18:51,19:00,19:05,19:10,19:15,19:22,19:31,19:36,19:45
,DEP.,,18:00,18:09,18:29,18:38,18:47,18:52,19:01,19:06,19:11,19:16,19:23,19:32,19:37,
