stop, ,Kashi,Cantt,Kachahari,Police Line,Pandeypur,Pahadia,Ashapur,Ledupur,Chiraia Ganv Block,Dubkia,Chaubey pur,Dharhara
distance, , ,,3,3,5,6,7,9,13,16,20,30
fare,, ,,6,6,10,12,12,15,18,22,22,27
,ARR.,,,6:36,6:38,6:43,6:46,6:49,6:54,7:03,7:01,7:19,7:04
,DEP., ,6:03,6:37,6:39,6:44,6:47,6:05,6:55,7:04,7:11,7:02,
,ARR.,,,7:06,7:08,7:13,7:16,7:19,7:24,7:33,7:04,7:49,8:01
 ,DEP.,,7,7:07,7:09,7:14,7:17,7:02,7:25,7:34,7:41,7:05, 
,ARR.,,,10:06,10:08,10:13,10:16,10:19,10:24,10:33,10:04,10:49,11:01
,DEP.,,10,10:07,10:09,10:14,10:17,10:02,10:25,10:34,10:04,10:05,
,ARR.,,,10:36,10:38,10:43,10:46,10:49,10:54,11:03,11:01,11:19,11:04
,DEP.,,10:03,10:37,10:39,10:44,10:47,10:05,10:55,11:04,11:11,11:02,
,ARR.,,,13:36,13:38,13:43,13:46,13:49,13:54,14:03,14:01,14:19,14:04
,DEP.,,13:03,13:37,13:39,13:44,13:47,13:05,13:55,14:04,14:11,14:02,
,ARR.,,,14:06,14:08,14:13,14:16,14:19,14:24,14:33,14:04,14:49,15:01
,DEP.,,14,14:06,14:09,14:14,14:17,14:02,14:25,14:34,14:41,14:05,
,ARR.,,,17:06,17:08,17:13,17:16,17:19,17:24,17:33,17:04,17:49,18:01
,DEP.,,17,17:07,17:09,17:14,17:17,17:02,17:25,17:34,17:41,17:05,
,ARR.,,,17:36,17:38,17:43,17:46,17:49,17:54,18:03,18:11,18:19,18:04
,DEP.,,17:03,17:37,17:39,17:44,17:47,17:05,17:55,18:04,18:12,18:02,
