stop,,Kashi,Padao,Dulhipur,Mughal Sarai,Patpara,Kaili,Bhupauli,Pakhopur,Kailavar,Chahania,Guraira,Devda,Ramgarh,
distance,,,0,4,9,13,17,19,23,25,29,32,35,39,
fare,,,,10.00,15.00,18.00,22.00,22.00,24.00,24.00,27.00,30.00,35.00,36.00,
,arr,,,7:08,7:19,7:37,7:46,7:51,8:00,8:05,8:14,8:21,8:28,8:37,
,dep,,7:00,7:09,7:29,7:38,7:47,7:52,8:01,8:06,8:15,8:22,8:29,,
,arr,,,11:38,11:49,12:07,12:16,12:21,12:30,12:35,12:44,12:51,12:58,13:07,
,dep,,11:30,11:39,11:59,12:08,12:17,12:22,12:31,12:36,12:45,12:52,12:59,,
,arr,,,14:08,14:19,14:37,14:46,14:51,15:00,15:05,15:14,15:21,15:28,15:37,
,dep,,14:00,14:09,14:29,14:38,14:37,14:52,15:01,15:06,15:15,15:22,15:29,,
,arr,,,15:38,15:49,16:07,16:16,16:21,16:30,16:35,16:44,16:51,16:58,17:07,
,dep,,15:30,15:39,15:59,16:08,16:17,16:22,16:31,16:36,16:45,16:52,16:59,,
