stop,,Kashi,Padao,Dulhipur,Mughal sarai,Patpara,Kaili,Bhupauli,Pakhopur,Kailavar,Chahania,Guraira,Majdaha,Marukhpur,Sadan,,,
distance,,,0,4,9,13,17,19,23,25,29,32,35,38,40,,,
fare,,,,6.00,15.00,18.00,22.00,22.00,24.00,24.00,27.00,30.00,30.00,36.00,36.00,,,
,arr,,,7:38,7:49,8:07,8:16,8:21,8:30,8:35,8:44,8:51,8:58,9:05,9:10,,,
,dep,,7:30,7:39,7:59,8:08,8:17,8:22,8:31,8:36,8:45,8:52,8:59,9:06,,,,
,arr,,,12:08,12:19,12:37,12:46,12:51,13:00,13:05,13:14,13:21,13:28,13:35,13:40,,,
,dep,,12:00,12:09,12:29,12:38,12:47,12:52,13:01,13:06,13:15,13:22,13:29,13:36,,,,
,arr,,,14:38,14:49,15:07,15:16,15:21,15:30,15:35,15:44,15:51,15:58,16:05,16:10,,,
,dep,,14:30,14:39,14:59,15:08,15:16,15:22,15:31,15:36,15:45,15:52,15:59,16:06,,,,
,arr,,,16:38,16:49,17:07,17:16,17:21,17:30,17:35,17:44,17:51,17:58,18:05,18:10,,,
,dep,,16:30,16:39,16:59,17:08,17:17,17:22,17:31,17:36,17:45,17:52,17:59,18:06,,,,
