stop,,Kashi,Padao,Dulhipur,Mughal sarai,Patpara,Kaili,Bhupauli,Pakhopur,Kailavar,Chahania,Guraira,Majdaha,Marukhpur,Saidpur,,,
distance,,,0,4,9,13,17,19,23,25,29,32,35,38,41,,,
fare,,,,6.00,15.00,18.00,22.00,22.00,24.00,24.00,27.00,30.00,30.00,36.00,40.00,,,
,arr,,,8:53,9:04,9:22,9:31,9:36,9:45,9:50,9:59,10:06,10:13,10:20,10:27,,,
,dep,,8:45,8:54,9:14,9:23,9:32,9:37,9:46,9:51,10:00,10:07,10:14,10:21,,,,
,arr,,,13:08,13:19,13:37,13:46,13:51,14:00,14:05,14:14,14:21,14:28,14:35,14:42,,,
,dep,,13:00,13:09,13:29,13:38,13:47,13:52,14:01,14:06,14:15,14:22,14:29,14:36,,,,
,arr,,,15:38,15:59,16:17,16:26,16:31,16:40,16:45,16:54,17:01,17:08,17:15,17:22,,,
,dep,,15:30,15:39,16:09,16:18,16:27,16:32,16:41,16:46,16:55,17:02,17:09,17:16,,,,
,arr,,,17:38,17:59,18:17,18:26,18:31,18:40,18:45,18:54,19:01,19:08,19:15,19:22,,,
,dep,,17:30,17:39,18:09,18:18,18:27,18:32,18:41,18:46,18:55,19:02,19:09,19:16,,,,
