stop,,Kashi,Padao,Dulhipur,Mughal Sarai,Niyamatabad,Pandeypur,Shivnathpur,Baburi,Mavaiya,Sikandar pur,Chakia
distance,,0,0,4,9,16,19,22,25,29,35,40
fare,,,,6.00,15.00,22.00,22.00,24.00,24.00,27.00,30.00,36.00
,arr,,,7:08,7:19,7:43,7:50,7:57,8:04,8:13,8:26,8:37
,dep,,7:00,7:09,7:29,7:44,7:51,7:58,8:05,8:14,8:27,
,arr,,,7:38,7:49,8:13,8:20,8:27,8:34,8:43,8:56,9:07
,dep,,7:30,7:39,7:59,8:14,8:21,8:28,8:35,8:44,8:57,
,arr,,,8:08,8:19,8:43,8:50,8:57,9:04,9:13,9:26,9:37
,dep,,8:00,8:09,8:29,8:44,8:51,8:58,9:05,9:14,9:27,
,arr,,,8:38,8:49,9:13,9:20,9:27,9:34,9:43,9:56,10:07
,dep,,8:30,8:39,8:59,9:14,9:21,9:28,9:35,9:44,9:57,
,arr,,,9:38,9:49,10:13,10:20,10:27,10:34,10:43,10:56,11:07
,dep,,9:30,9:39,9:59,10:14,10:21,10:28,10:35,10:44,10:57,
,arr,,,10:08,10:19,10:43,10:50,10:57,11:04,11:13,11:26,11:37
,dep,,10:00,10:09,10:29,10:44,10:51,10:58,11:05,11:14,11:27,
,arr,,,10:38,10:49,11:13,11:20,11:27,11:34,11:43,11:56,12:07
,dep,,10:30,10:39,10:59,11:14,11:21,11:28,11:35,11:44,11:57,
,arr,,,11:08,11:19,11:43,11:50,11:57,12:04,12:13,12:26,12:37
,dep,,11:00,11:09,11:29,11:44,11:51,11:58,12:05,12:14,12:27,
,arr,,,11:38,11:49,12:13,12:20,12:27,12:34,12:43,12:56,13:07
,dep,,11:30,11:39,11:59,12:14,12:21,12:28,12:35,12:44,12:57,
,arr,,,12:08,12:19,12:43,12:50,12:57,13:04,13:13,13:26,13:37
,dep,,12:00,12:09,12:29,12:44,12:51,12:58,13:05,13:14,13:27,
,arr,,,12:38,12:49,13:13,13:20,13:27,13:34,13:43,13:56,14:07
,dep,,12:30,12:39,12:59,13:14,13:21,13:28,13:35,13:44,13:57,
,arr,,,13:08,13:19,13:43,13:50,13:57,14:04,14:13,14:26,14:37
,dep,,13:00,13:09,13:29,13:44,13:51,13:58,14:05,14:14,14:27,
,arr,,,13:38,13:49,14:13,14:20,14:27,14:34,14:43,14:56,15:07
,dep,,13:30,13:39,13:59,14:14,14:21,14:28,14:35,14:44,14:57,
,arr,,,14:08,14:19,14:43,14:50,14:57,15:04,15:13,15:26,15:37
,dep,,14:00,14:09,14:29,14:44,14:51,14:58,15:05,15:14,15:27,
,arr,,,14:38,14:49,15:13,15:20,15:27,15:34,15:43,15:56,16:07
,dep,,14:30,14:39,14:59,15:14,15:21,15:28,15:35,15:44,15:57,
,arr,,,15:08,15:19,15:43,15:50,15:57,16:04,16:13,16:26,16:37
,dep,,15:00,15:09,15:20,15:44,15:51,15:58,16:05,16:14,16:27,
,arr,,,15:38,15:49,16:13,16:20,16:27,16:34,16:43,16:56,17:07
,dep,,15:30,15:39,15:59,16:14,16:21,16:28,16:35,16:44,16:57,
,arr,,,16:38,16:49,17:13,17:20,17:27,17:34,17:43,17:56,18:07
,dep,,16:30,16:39,16:59,17:14,17:21,17:28,17:35,17:44,17:57,
,arr,,,17:08,17:19,17:43,17:50,17:57,18:04,18:13,18:26,18:37
,dep,,17:00,17:09,17:29,17:44,17:51,17:58,18:05,18:14,18:27,
,arr,,,17:38,17:49,18:13,18:20,18:27,18:34,18:43,18:56,19:07
,dep,,17:30,17:39,17:59,18:14,18:21,18:28,18:35,18:44,18:57,
