stop, ,Markandey Mahadev,Kaithi,Chandravati,Chaubeypur,Dubkia,Chiraia Ganv Block,Ledupur,Ashapur,Pahadia,Pandeypur,Police Line,Cantt
distance, ,,2,6,10,14,17,21,23,24,25,27,30
fare,,,6,12,15,18,22,24,24,24,24,27,27
,arr,,7:04,7:13,7:22,7:31,7:38,7:47,7:52,7:55,7:58,8:03,8:01
,dep,7,7:05,7:14,7:23,7:32,7:39,7:48,7:53,7:56,7:59,8:04,
,arr,,11:04,11:13,11:22,11:31,11:38,11:47,11:52,11:55,11:58,12:03,12:01
 ,dep,11,11:05,11:14,11:23,11:32,11:39,11:48,11:53,11:56,11:59,12:04, 
,arr,,15:04,15:13,15:22,15:31,15:38,15:47,15:52,15:55,15:58,16:03,16:01
,dep,15,15:05,15:14,15:23,15:32,15:39,15:48,15:53,15:56,15:59,16:04, 
,arr,,19:04,19:13,19:22,19:31,19:38,19:47,19:52,19:55,19:58,20:03,20:01
,dep,19,19:05,19:14,19:23,19:32,19:39,19:48,19:53,19:56,19:59,20:04, 
