stop,,Kashi,Saiyadraja,Leelapur,Chandauli,Jagdish Sarai,Jhansi Pokhra,Ganj Khwaja,Panch Pedwa,Mughal Sarai,Dulhipur,Padao,,,,,
distance,,0,0,5,9,11,14,17,21,25,30,34,,,,,
fare,,,,10.00,15.00,18.00,18.00,22.00,24.00,24.00,27.00,30.00,,,,,
,arr,,,5:10,5:19,5:28,5:35,5:42,5:51,6:00,6:20,6:30,,,,,
,dep,,5:00,5:11,5:24,5:29,5:36,5:43,5:52,6:10,6:21,,,,,,
,arr,,,5:40,5:49,5:58,6:05,6:12,6:21,6:30,6:50,7:00,,,,,
,dep,,5:30,5:41,5:54,5:59,6:06,6:13,6:22,6:40,6:51,,,,,,
,arr,,,6:10,6:19,6:28,6:35,6:42,6:51,7:00,7:20,7:30,,,,,
,dep,,6:00,6:11,6:24,6:29,6:36,6:43,6:52,7:10,7:21,,,,,,
,arr,,,6:40,6:49,6:58,7:05,7:12,7:21,7:30,7:50,8:00,,,,,
,dep,,6:30,6:41,6:54,6:59,7:06,7:13,7:22,7:40,7:51,,,,,,
,arr,,,7:10,7:19,7:28,7:35,7:42,7:51,8:00,8:20,8:30,,,,,
,dep,,7:00,7:11,7:24,7:29,7:36,7:43,7:52,8:10,8:21,,,,,,
,arr,,,8:55,9:04,9:13,9:20,9:27,9:36,9:45,10:05,10:15,,,,,
,dep,,8:45,8:56,9:09,9:14,9:21,9:28,9:37,9:55,10:06,,,,,,
,arr,,,9:10,9:19,9:28,9:35,9:42,9:51,10:00,10:20,10:30,,,,,
,dep,,9:00,9:11,9:24,9:29,9:36,9:43,9:52,10:10,10:21,,,,,,
,arr,,,9:25,9:34,9:43,9:50,9:57,10:06,10:15,10:35,10:45,,,,,
,dep,,9:15,9:26,9:39,9:44,9:51,9:58,10:07,10:25,10:36,,,,,,
,arr,,,9:40,9:49,9:58,10:05,10:12,10:21,10:30,10:50,11:00,,,,,
,dep,,9:30,9:41,9:54,9:59,10:06,10:13,10:22,10:40,10:51,,,,,,
,arr,,,9:55,10:04,10:13,10:20,10:27,10:36,10:45,11:05,11:15,,,,,
,dep,,9:45,9:56,10:09,10:14,10:21,10:28,10:37,10:55,11:06,,,,,,
,arr,,,10:10,10:19,10:28,10:35,10:42,10:51,11:00,11:20,11:30,,,,,
,dep,,10:00,10:11,10:24,10:29,10:36,10:43,10:52,11:10,11:21,,,,,,
,arr,,,10:25,10:34,10:43,10:50,10:57,11:06,11:15,11:35,11:45,,,,,
,dep,,10:15,10:26,10:39,10:44,10:51,10:58,11:07,11:25,11:36,,,,,,
,arr,,,10:40,10:49,10:58,11:05,11:12,11:21,11:30,11:50,12:00,,,,,
,dep,,10:30,10:41,10:54,10:59,11:06,11:13,11:22,11:40,11:51,,,,,,
,arr,,,10:55,11:04,11:13,11:20,11:27,11:36,11:45,12:05,12:15,,,,,
,dep,,10:45,10:56,11:09,11:14,11:21,11:28,11:37,11:55,12:06,,,,,,
,arr,,,11:10,11:19,11:28,11:35,11:42,11:51,12:00,12:20,12:30,,,,,
,dep,,11:00,11:11,11:24,11:29,11:36,11:43,11:52,12:10,12:21,,,,,,
,arr,,,12:55,13:04,13:13,13:20,13:27,13:36,13:45,14:05,14:15,,,,,
,dep,,12:45,12:56,13:09,13:14,13:21,13:28,13:37,13:55,14:06,,,,,,
,arr,,,13:10,13:19,13:28,13:35,13:42,13:51,14:00,14:20,14:30,,,,,
,dep,,13:00,13:11,13:24,13:29,13:36,13:43,13:52,14:10,14:21,,,,,,
,arr,,,13:25,13:34,13:43,13:50,13:57,14:06,14:15,14:35,14:45,,,,,
,dep,,13:15,13:26,13:39,13:44,13:51,13:58,14:07,14:25,14:36,,,,,,
,arr,,,13:40,13:49,13:58,14:05,14:12,14:21,14:30,14:50,15:00,,,,,
,dep,,13:30,13:41,13:54,13:59,14:06,14:13,14:22,14:40,14:51,,,,,,
,arr,,,13:55,14:04,14:13,14:20,14:27,14:36,14:45,15:05,15:15,,,,,
,dep,,13:45,13:56,14:09,14:14,14:21,14:28,14:37,14:55,15:06,,,,,,
,arr,,,14:10,14:19,14:28,14:35,14:42,14:51,15:00,15:20,15:30,,,,,
,dep,,14:00,14:11,14:24,14:29,14:36,14:43,14:52,15:10,15:21,,,,,,
,arr,,,14:25,14:34,14:43,14:50,14:57,15:06,15:15,15:35,15:45,,,,,
,dep,,14:15,14:26,14:39,14:44,14:51,14:58,15:07,15:25,15:36,,,,,,
,arr,,,14:40,14:49,14:58,15:05,15:12,15:21,15:30,15:50,16:00,,,,,
,dep,,14:30,14:41,14:54,15:59,15:06,15:13,15:22,15:40,15:51,,,,,,
,arr,,,14:55,15:04,15:13,15:20,15:27,15:36,15:45,16:05,16:15,,,,,
,dep,,14:45,14:56,15:09,15:14,15:21,15:28,15:37,15:55,16:06,,,,,,
,arr,,,15:10,15:19,15:28,15:35,15:42,15:51,16:00,16:20,16:30,,,,,
,dep,,15:00,15:11,15:24,15:29,15:36,15:43,15:52,16:10,16:21,,,,,,
,arr,,,16:55,17:04,17:13,17:20,17:27,17:36,17:45,18:05,18:15,,,,,
,dep,,16:45,16:56,17:09,17:14,17:21,17:28,17:37,17:55,18:06,,,,,,
,arr,,,17:40,17:49,17:58,18:05,18:12,18:21,18:30,18:50,19:00,,,,,
,dep,,17:30,17:41,17:54,17:59,18:06,18:13,18:22,18:40,18:51,,,,,,
,arr,,,17:55,18:04,18:13,18:20,18:27,18:36,18:45,19:05,19:15,,,,,
,dep,,17:45,17:56,18:09,18:14,18:21,18:28,18:37,18:55,19:06,,,,,,
,arr,,,18:10,18:19,18:28,18:35,18:42,18:51,19:00,19:20,19:30,,,,,
,dep,,18:00,18:11,18:24,18:29,18:36,18:43,18:52,19:10,19:21,,,,,,
,arr,,,18:25,18:34,18:43,18:50,18:57,19:06,19:15,19:35,19:45,,,,,
,dep,,18:15,18:26,18:39,18:44,18:51,18:58,19:07,19:25,19:36,,,,,,
