stop, ,Sindhora,Marui,Garthama,Palhipatti,Gosaipur,Ahirauli,Ayar,Murdaha,Chandmari,Nataniyadayi,Bhojubir,Kachahari,Nadesar,Cantt
distance, ,0,2,6,7,10,11,13,15,19,21,23,24,26,27
fare,,,6.00,12.00,12.00,15.00,18.00,18.00,18.00,22.00,24.00,24.00,24.00,27.00,27.00
,arr,,8:12,8:28,8:32,8:44,8:48,8:56,9:04,9:20,9:28,9:36,9:40,9:48,9:53
,dep,8:05,8:13,8:29,8:33,8:44,8:49,8:57,9:05,9:21,9:29,9:37,9:41,9:49,
 ,arr,,9:12,9:28,9:32,9:44,9:48,9:56,10:04,10:20,10:28,10:36,10:40,10:48,10:53
,dep,9:05,9:13,9:29,9:33,9:45,9:49,9:57,10:05,10:21,10:29,10:37,10:41,10:49,
,arr,,12:12,12:28,12:32,12:44,12:48,12:56,13:04,13:20,13:28,13:36,13:40,13:48,13:53
,dep,12:05,12:13,12:29,12:33,12:45,12:49,12:57,13:05,13:21,13:29,13:37,13:41,13:49,
,arr,,13:12,13:28,13:32,13:44,13:48,13:56,14:04,14:20,14:28,14:36,14:40,14:48,14:53
,dep,13:05,13:13,13:29,13:33,13:45,12:49,13:57,14:05,14:21,14:29,14:37,14:41,14:49,
,arr,,16:12,16:28,16:32,16:44,16:48,16:56,17:04,17:20,17:28,17:36,17:40,17:48,17:53
,dep,16:05,16:13,16:29,16:33,16:45,16:49,16:57,17:05,17:21,17:29,17:37,17:41,17:49,
,arr,,17:12,17:28,17:32,17:44,17:48,17:56,18:04,18:20,18:28,18:36,18:40,18:48,18:53
,dep,17:05,17:13,17:29,17:33,17:45,17:49,17:57,18:05,18:21,18:29,18:37,18:41,18:49,
,arr,,20:12,20:28,20:32,20:44,20:48,20:56,21:04,21:20,21:28,21:36,21:40,21:48,21:53
,dep,20:05,20:13,20:29,20:33,20:45,20:49,20:57,21:05,21:21,21:29,21:37,21:41,21:49,
,arr,,21:12,21:28,21:32,21:44,21:48,21:56,22:04,22:20,22:28,22:36,22:40,22:48,22:53
,dep,21:05,21:13,21:29,21:33,21:45,21:49,21:57,22:05,22:21,22:29,22:37,22:41,22:49,
