stopage, ,KASHI,AHRORA,HATAMPUR,ADALHAT,RANIBAGH,NARAYANPUR,RAMNAGAR,PADAV
DISTANCE, , ,,5,11,17,21,30,35
FARE,, ,,10,18,22,24,24,30
,ARR.,,,6:01,6:23,6:36,6:45,7:04,7:15
,DEP., ,6:00,6:11,6:24,6:37,6:46,7:05,
,ARR.,,,6:04,6:53,7:06,7:15,7:34,7:45
 ,DEP.,,6:03,6:41,6:54,7:07,7:16,7:35,
,ARR.,,,7:01,7:23,7:36,7:45,8:04,8:15
,DEP.,,7:00,7:11,7:24,7:37,7:46,8:05,
,ARR.,,,9:01,9:23,9:36,9:45,10:04,10:15
,DEP.,,9:00,9:11,9:24,9:37,9:46,10:05,
,ARR.,, ,9:04,9:53,10:06,10:15,10:34,10:45
,DEP.,,9:03,9:41,9:54,10:07,10:16,10:35,
,ARR.,,,10:01,10:23,10:36,10:45,11:04,11:15
,DEP.,,10:00,10:11,10:24,10:37,10:46,11:05,
,ARR.,,,12:11,12:24,12:37,12:46,13:05,13:15
,DEP.,,12:00,12:12,12:25,12:38,12:47,13:06,
,ARR.,,,12:41,12:54,13:07,13:16,13:35,13:45
,DEP.,,12:03,12:42,12:55,13:08,13:17,13:36,
,ARR.,,,13:11,13:24,13:37,13:46,13:05,14:15
,DEP.,,13:00,13:12,13:25,13:38,13:47,13:06,
