stopage,,AIRPORT,SHIVPUR BYPASS,KACHARI,CANTT.,MANDUADIH,LANKA
diatance,,0,18,21,24,28,34
fare,,,22,24,24,27,30
,ARR.,,7:06,7:14,7:22,7:32,7:46
,DEP.,6:30,7:08,7:16,7:24,7:34,
,ARR.,,7:36,7:44,7:52,8:02,8:16
,DEP.,7:00,7:38,7:46,7:54,8:04,
,ARR.,,10:06,10:14,10:22,10:32,10:46
,DEP.,9:30,10:08,10:16,10:24,10:34,
,ARR.,,10:36,10:44,10:52,11:02,11:16
,DEP.,10:00,10:38,10:46,10:54,11:04,
,ARR.,,13:06,13:14,13:22,13:32,13:46
,DEP.,12:30,13:08,13:16,13:24,13:34,
,ARR.,,13:36,13:44,13:52,14:02,14:16
,DEP.,13:00,13:38,13:46,13:54,14:04,
,ARR.,,16:06,16:14,16:22,16:32,16:46
,DEP.,15:30,16:08,16:16,16:24,16:34,
,ARR.,,16:36,16:44,16:52,17:02,17:16
,DEP.,16:00,16:38,16:46,16:54,17:04,
,ARR.,,19:06,19:14,19:22,19:32,19:46
,DEP.,18:30,19:08,19:16,19:24,19:34,
,ARR.,,19:36,19:44,19:52,20:02,20:16
,DEP.,19:00,19:38,19:46,19:54,20:08,
