STOPS, ,BALUAGHAT,BHAGATUA,JALAHUPUR,SAWKA POKHARA,GAURA,CHIRIYAGAWAO,TILMAPUR,CHANDRA MORE,ASHAPUR,PAHARIA,PANDEPUR,POLICE LINE,CHAUKAGHAT,CANTT
DISTANCE, ,0,3,7,10,13,15,19,20,21,22,23,25,27,28
FARE,,,6.00,12.00,15.00,18.00,18.00,22.00,22.00,24.00,24.00,24.00,24.00,27.00,27.00
,ARR.,,6:11,6:27,6:39,6:51,6:59,7:15,7:19,7:23,7:27,7:31,7:39,7:47,7:52
,DEP.,6:00,6:12,6:28,6:40,6:52,7:00,7:16,7:20,7:24,7:28,7:32,7:40,7:48,
 ,ARR.,,10:41,10:57,11:09,11:21,11:29,11:45,11:49,11:53,11:57,12:01,12:09,12:17,12:22
 ,DEP.,10:30,10:42,10:58,11:10,11:22,11:30,11:46,11:50,11:54,11:58,12:02,12:10,12:18,
,ARR.,,14:41,14:57,15:09,15:21,15:29,15:45,15:49,15:53,15:57,16:01,16:09,16:17,16:22
,DEP.,14:30,14:42,14:58,15:10,15:22,15:30,15:46,15:50,15:54,15:58,16:02,16:10,16:18,
,ARR.,,18:41,18:57,19:09,19:21,19:29,19:45,19:49,19:53,19:57,20:01,20:09,20:17,20:22
,DEP.,18:30,18:42,18:58,19:10,19:22,19:30,19:46,19:50,19:54,19:58,20:02,20:10,20:18,w/s
