stop,,Kashi,Dhanapur,Hingutar,Nedilpur,Moharganj,Ramauli,Chahania,Kelavar,Pakhopur,Bhupauli,Kaili,Patpara,Muhgal sarai,Dulhipur,Padao,,
distance,,,0,4,6,10,13,15,19,21,25,27,31,35,40,44,,
fare,,,,10.00,12.00,15.00,18.00,18.00,22.00,24.00,24.00,27.00,30.00,30.00,36.00,40.00,,
,ARR.,,,6:08,6:11,6:20,6:27,6:32,6:41,6:46,6:55,7:00,7:09,7:14,7:34,7:43,,
,DEP.,,6:00,6:09,6:12,6:21,6:28,6:33,6:42,6:47,6:56,7:01,7:10,7:24,7:35,,,
,ARR.,,,6:38,6:41,6:50,6:57,7:02,7:11,7:16,7:25,7:30,7:39,7:44,8:04,8:13,,
,DEP.,,6:30,6:39,6:42,6:51,6:58,7:03,7:12,7:17,7:26,7:31,7:40,7:54,8:05,,,
,ARR.,,,11:08,11:11,11:20,11:27,11:32,11:41,11:46,11:55,12:00,12:09,12:14,12:34,12:43,,
,DEP.,,11:00,11:09,11:12,11:21,11:28,11:33,11:42,11:47,11:56,12:01,12:10,12:24,12:35,,,
,ARR.,,,16:08,16:11,16:20,16:27,16:32,16:41,16:46,16:57,17:00,17:09,17:14,17:34,17:43,,
,DEP.,,16:00,16:09,16:12,16:21,16:28,16:33,16:42,16:47,16:58,17:01,17:10,17:24,17:35,,,
