stop, ,Kashi,Padao,Dulhipur,Mughal Sarai,Niyamatabad,Pandey Pur,Shivnath pur,Baghuri,Mavaia,Sikandar pur,Chakia,Guraila,Bahelia,Jamsauti,Chandraprabha,Vrindavan,Naugarh
distance, ,0,0,4,9,16,19,22,25,29,35,40,45,48,56,58,76,78
fare,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,ARR.,,7:00,7:23,7:39,7:58,8:08,8:18,8:28,8:41,9:00,9:16,9:32,9:42,10:07,10:14,11:03,11:10
 ,DEP.,6:00,7:15,7:24,7:40,7:59,8:09,8:19,8:29,8:42,9:01,9:17,9:33,9:42,10:08,10:15,11:04,
 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
