stop,,Lanka,Mandu dih,Cantt,Kachahari,Shivpur bypass,Airport
distance,,0,6,10,13,16,34
fare,,,12.00,15.00,18.00,22.00,30.00
,arr,,5:12,5:22,5:30,5:38,6:16
,dep,5:00,5:14,5:24,5:32,5:40,
,arr,,5:42,5:52,6:00,6:08,6:46
,dep,5:30,5:44,5:54,6:02,6:10,
,arr,,8:12,8:22,8:30,8:38,9:16
,dep,8:00,8:14,8:24,8:32,8:40,
,arr,,8:42,8:52,9:00,9:08,9:46
,dep,8:30,8:44,8:54,9:02,9:10,
,arr,,11:12,11:22,11:30,11:38,12:16
,dep,11:00,11:14,11:24,11:32,11:40,
,arr,,11:42,11:52,12:00,12:08,12:46
,dep,11:30,11:44,11:54,12:02,12:10,
,arr,,14:12,14:22,14:30,14:38,15:16
,dep,14:00,14:14,14:24,14:32,14:40,
,arr,,14:42,14:52,15:00,15:08,15:46
,dep,14:30,14:44,14:54,15:02,15:10,
,arr,,17:12,17:22,17:30,17:38,18:16
,dep,17:00,17:14,17:24,17:32,17:40,
,arr,,17:42,17:52,18:00,18:08,18:46
,dep,17:30,17:44,17:54,18:02,18:10,
,,,,,,,
,,,,,,,
