STOPS, ,LANKA,SUNDARPUR,BHIKHARIPUR,MANDUADIH,LAHARTARA,CANTT.,CHAUKAGHAT,GOLGADDA,KAJJAKPURA,BHADAU,RAJGHAT
DISTANCE, ,0,2,4,6,8,10,11,14,15,16,17
FARE,,0,6,10,12,12,15,18,18,18,22,22
,Arr.,,5:10,5:11,5:16,5:21,5:26,5:30,,,,
,Dep.,5,5:08,5:13,5:18,5:23,5:27,,,,,
,Arr.,,5:21,5:26,5:31,5:36,5:41,5:45,,,,
,Dep.,5:15,5:23,5:28,5:33,5:38,5:42,,,,,
,Arr.,,5:36,5:41,5:46,5:51,5:56,6,,,,
,Dep.,5:03,5:38,5:43,5:48,5:53,5:57,,,,,
,Arr.,,5:51,5:56,6:01,6:06,6:11,6:15,,,,
,Dep.,5:45,5:53,5:58,6:03,6:08,6:12,,,,,
,Arr.,,6:06,6:11,6:16,6:21,6:26,6:03,,,,
,Dep.,6,6:08,6:13,6:18,6:23,6:27,,,,,
,Arr.,,6:21,6:26,6:31,6:36,6:01,6:45,,,,
,Dep.,6:15,6:23,6:28,6:33,6:38,6:02,,,,,
,Arr.,,6:36,6:41,6:46,6:51,6:16,7,,,,
,Dep.,6:03,6:38,6:43,6:48,6:53,6:17,,,,,
,Arr.,,6:51,6:56,7:01,7:06,6:31,7:15,,,,
,Dep.,6:45,6:53,6:58,7:03,7:08,6:32,,,,,
,Arr.,,7:06,7:11,7:16,7:21,6:46,7:03,,,,
,Dep.,7,7:08,7:13,7:18,7:23,6:47,,,,,
,Arr.,,7:21,7:26,7:31,7:36,7:01,7:45,,,,
,Dep.,7:15,7:23,7:28,7:33,7:38,7:02,,,,,
,Arr.,,7:36,7:41,7:46,7:51,7:16,8,,,,
,Dep.,7:03,7:38,7:43,7:48,7:53,7:17,,,,,
,Arr.,,7:51,7:56,8:01,8:06,7:31,8:15,,,,
,Dep.,7:45,7:53,7:58,8:03,8:08,7:32,,,,,
,Arr.,,8:06,8:11,8:16,8:21,7:46,8:03,,,,
,Dep.,8,8:08,8:13,8:18,8:23,7:47,,,,,
,Arr.,,8:21,8:26,8:31,8:36,8:01,8:45,,,,
,Dep.,8:15,8:23,8:28,8:33,8:38,8:02,,,,,
,Arr.,,8:36,8:41,8:46,8:51,8:16,9,,,,
,Dep.,8:03,8:38,8:43,8:48,8:53,8:17,,,,,
,Arr.,,8:51,8:56,9:01,9:06,8:31,9:15,,,,
,Dep.,8:45,8:53,8:58,9:03,9:08,8:32,,,,,
,Arr.,,9:06,9:11,9:16,9:21,8:46,9:03,,,,
,Dep.,9,9:08,9:13,9:18,9:23,8:47,,,,,
,Arr.,,9:21,9:26,9:31,9:36,9:01,9:45,,,,
,Dep.,9:15,9:23,9:28,9:33,9:38,9:02,,,,,
,Arr.,,9:36,9:41,9:46,9:51,9:16,10,,,,
,Dep.,9:03,9:38,9:43,9:48,9:53,9:17,,,,,
,Arr.,,9:51,9:56,10:01,10:06,9:31,10:15,,,,
,Dep.,9:45,9:53,9:58,10:03,10:08,9:32,,,,,
,Arr.,,10:06,10:11,10:16,10:21,9:46,10:03,,,,
,Dep.,10,10:08,10:13,10:18,10:23,9:47,,,,,
,Arr.,,10:21,10:26,10:31,10:36,10:01,10:45,,,,
,Dep.,10:15,10:23,10:28,10:33,10:38,10:02,,,,,
,Arr.,,10:36,10:41,10:46,10:51,10:16,11,,,,
,Dep.,10:03,10:38,10:43,10:48,10:53,10:17,,,,,
,Arr.,,10:51,10:56,11:01,11:06,10:31,11:15,,,,
,Dep.,10:45,10:53,10:58,11:03,11:08,10:32,,,,,
,Arr.,,11:06,11:11,11:16,11:21,10:46,11:03,,,,
,Dep.,11,11:08,11:13,11:18,11:23,10:47,,,,,
,Arr.,,11:21,11:26,11:31,11:36,11:01,11:45,,,,
,Dep.,11:15,11:23,11:28,11:33,11:38,11:02,,,,,
,Arr.,,11:36,11:41,11:46,11:51,11:16,12,,,,
,Dep.,11:03,11:38,11:43,11:48,11:53,11:17,,,,,
,Arr.,,11:51,11:56,12:01,12:06,11:31,12:15,,,,
,Dep.,11:45,11:53,11:58,12:03,12:08,11:32,,,,,
,Arr.,,12:06,12:11,12:16,12:21,11:46,12:03,,,,
,Dep.,12,12:08,12:13,12:18,12:23,11:47,,,,,
,Arr.,,12:21,12:26,12:31,12:36,12:01,12:45,,,,
,Dep.,12:15,12:23,12:28,12:33,12:38,12:02,,,,,
,Arr.,,12:36,12:41,12:46,12:51,12:16,13,,,,
,Dep.,12:03,12:38,12:43,12:48,12:53,12:17,,,,,
,Arr.,,12:51,12:56,13:01,13:06,12:31,13:15,,,,
,Dep.,12:45,12:53,12:58,13:03,13:08,12:32,,,,,
,Arr.,,13:06,13:11,13:16,13:21,12:46,13:03,,,,
,Dep.,13,13:08,13:13,13:18,13:23,12:47,,,,,
,Arr.,,13:21,13:26,13:31,13:36,13:01,13:45,,,,
,Dep.,13:15,13:23,13:28,13:33,13:38,13:02,,,,,
,Arr.,,13:36,13:41,13:46,13:51,13:16,14,,,,
,Dep.,13:03,13:38,13:43,13:48,13:53,13:17,,,,,
,Arr.,,13:51,13:56,14:01,14:06,13:31,14:15,,,,
,Dep.,13:45,13:53,13:58,14:03,14:08,13:32,,,,,
,Arr.,,14:06,14:11,14:16,14:21,13:46,14:03,,,,
,Dep.,14,14:08,14:13,14:18,14:23,13:47,,,,,
,Arr.,,14:21,14:26,14:31,14:36,14:01,14:45,,,,
,Dep.,14:15,14:23,14:28,14:33,14:38,14:02,,,,,
,Arr.,,14:36,14:41,14:46,14:51,14:16,15,,,,
,Dep.,14:03,14:38,14:43,14:48,14:53,14:17,,,,,
,Arr.,,14:51,14:56,15:01,15:06,14:31,15:15,,,,
,Dep.,14:45,14:53,14:58,15:03,15:08,14:32,,,,,
,Arr.,,15:06,15:11,15:16,15:21,14:46,15:03,,,,
,Dep.,15,15:08,15:13,15:18,15:23,14:47,,,,,
,Arr.,,15:21,15:26,15:31,15:36,15:01,15:45,,,,
,Dep.,15:15,15:23,15:28,15:33,15:38,15:02,,,,,
,Arr.,,15:36,15:41,15:46,15:51,15:16,16,,,,
,Dep.,15:03,15:38,15:43,15:48,15:53,15:17,,,,,
,Arr.,,15:51,15:56,16:01,16:06,15:31,16:15,,,,
,Dep.,15:45,15:53,15:58,16:03,16:08,15:32,,,,,
,Arr.,,16:06,16:11,16:16,16:21,15:46,16:03,,,,
,Dep.,16,16:08,16:13,16:18,16:23,15:47,,,,,
,Arr.,,16:21,16:26,16:31,16:36,16:01,16:45,,,,
,Dep.,16:15,16:23,16:28,16:33,16:38,16:02,,,,,
,Arr.,,16:36,16:41,16:46,16:51,16:16,17,,,,
,Dep.,16:03,16:38,16:43,16:48,16:53,16:17,,,,,
,Arr.,,16:51,16:56,17:01,17:06,16:31,17:15,,,,
,Dep.,16:45,16:53,16:58,17:03,17:08,16:32,,,,,
,Arr.,,17:06,17:11,17:16,17:21,16:46,17:03,,,,
