stop,,Kashi,Sadan,Marukhpur,Majdaha,Guraira,Chahania,Kailawar,Pakhopur,Bupauli,Kaili,Patapara,Mughal Sarai,Dulhi pur,Padao
distance,,,0,2,5,8,11,15,17,21,23,27,31,36,40
fare,,,,6.00,10.00,12.00,18.00,18.00,22.00,24.00,24.00,27.00,30.00,36.00,36.00
,arr,,,5:34,5:41,5:48,5:55,6:04,6:09,6:18,6:21,6:30,6:39,6:59,7:08
,dep,,5:30,5:35,5:42,5:49,5:56,6:05,6:10,6:19,6:22,6:31,6:49,7:00,
,arr,,,6:04,6:11,6:18,6:25,6:34,6:39,6:48,6:51,7:00,7:09,7:29,7:38
,dep,,6:00,6:05,6:12,6:19,6:26,6:35,6:40,6:49,6:52,7:01,7:19,7:30,
,arr,,,10:04,10:11,10:18,10:25,10:34,10:39,10:48,10:51,11:00,11:09,11:29,11:38
,dep,,10:00,10:05,10:12,10:19,10:26,10:35,10:40,10:49,10:52,11:01,11:19,11:30,
,arr,,,14:34,14:41,14:48,14:55,15:04,15:09,15:18,15:21,15:30,15:39,15:59,16:08
,dep,,14:30,14:35,14:42,14:49,14:56,15:05,15:10,15:19,15:22,15:31,15:49,16:00,
